user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
U000157,16,2,814.1999999999999,3,1,3,313,其他
U000158,59,1,225.2,1,1,1,111,流失用户
U000159,3,4,1107.8999999999999,5,3,3,533,其他
U000160,15,7,2273.1099999999997,3,4,5,345,忠实用户
U000161,15,1,152.46,3,1,1,311,新用户
U000162,4,4,991.0299999999999,5,3,3,533,其他
U000163,1,4,477.58000000000004,5,3,2,532,其他
U000164,1,10,2748.13,5,5,5,555,冠军用户
U000165,42,6,5734.88,1,4,5,145,其他
U000166,8,5,1182.6399999999999,4,4,3,443,其他
U000167,21,2,364.19,2,1,1,211,其他
U000168,19,4,1314.22,3,3,4,334,其他
U000169,12,4,581.52,3,3,2,332,其他
U000170,16,5,1882.56,3,4,4,344,忠实用户
U000171,78,1,105.52,1,1,1,111,流失用户
U000172,45,2,1771.23,1,1,4,114,大客户
U000173,74,1,261.92,1,1,1,111,流失用户
U000174,17,11,2633.47,3,5,5,355,忠实用户
U000175,1,9,2255.89,5,5,5,555,冠军用户
U000176,46,3,610.9200000000001,1,2,2,122,其他
U000177,8,3,565.81,4,2,2,422,新用户
U000178,5,7,1091.56,5,4,3,543,忠实用户
U000179,67,1,965.72,1,1,3,113,其他
U000180,10,3,432.25,4,2,2,422,新用户
U000182,21,3,1702.03,2,2,4,224,其他
U000183,25,8,3397.5699999999997,2,5,5,255,其他
U000184,33,2,132.44,2,1,1,211,其他
U000185,26,2,594.51,2,1,2,212,其他
U000186,52,1,76.27,1,1,1,111,流失用户
U000187,7,7,426.98,4,4,2,442,其他
U000188,26,2,1128.54,2,1,3,213,其他
U000189,10,7,2271.18,4,4,5,445,冠军用户
U000190,8,3,809.96,4,2,3,423,其他
U000191,11,2,617.95,4,1,2,412,新用户
U000192,17,2,545.3399999999999,3,1,2,312,其他
U000193,26,2,443.74,2,1,2,212,其他
U000194,40,8,2017.39,1,5,4,154,大客户
U000195,7,4,856.6,4,3,3,433,其他
U000196,14,5,2558.4399999999996,3,4,5,345,忠实用户
U000197,6,18,4581.700000000001,4,5,5,455,冠军用户
U000198,3,7,3881.04,5,4,5,545,冠军用户
U000199,19,2,460.86,3,1,2,312,其他
U000201,85,1,174.4,1,1,1,111,流失用户
U000202,12,2,230.12,3,1,1,311,新用户
U000203,44,3,770.28,1,2,3,123,其他
U000204,1,6,2970.1,5,4,5,545,冠军用户
U000205,7,5,2378.5099999999998,4,4,5,445,冠军用户
U000206,25,2,1401.28,2,1,4,214,大客户
U000207,63,2,138.88,1,1,1,111,流失用户
U000208,39,1,194.44,1,1,1,111,流失用户
U000209,21,4,600.3600000000001,2,3,2,232,其他
U000210,26,1,37.64,2,1,1,211,其他
U000211,25,2,223.39999999999998,2,1,1,211,其他
U000212,67,1,26.48,1,1,1,111,流失用户
U000213,3,5,1771.5000000000002,5,4,4,544,冠军用户
U000214,17,8,1891.1799999999998,3,5,4,354,忠实用户
U000215,28,3,562.3199999999999,2,2,2,222,其他
U000216,7,4,1743.1599999999999,4,3,4,434,其他
U000217,7,1,555.03,4,1,2,412,新用户
U000218,55,2,518.13,1,1,2,112,流失用户
U000219,72,1,185.4,1,1,1,111,流失用户
U000220,40,1,235.35,1,1,1,111,流失用户
U000221,7,2,202.44,4,1,1,411,新用户
U000223,55,4,351.48,1,3,1,131,流失用户
U000224,26,3,141.98,2,2,1,221,其他
U000225,41,1,176.92,1,1,1,111,流失用户
U000226,23,2,121.80000000000001,2,1,1,211,其他
U000227,18,1,37.64,3,1,1,311,新用户
U000228,52,1,102.81,1,1,1,111,流失用户
U000229,20,3,721.7400000000001,3,2,2,322,其他
U000230,9,6,1354.8700000000001,4,4,4,444,忠实用户
U000231,46,1,43.02,1,1,1,111,流失用户
U000232,3,6,967.0500000000001,5,4,3,543,忠实用户
U000233,18,5,775.9000000000001,3,4,3,343,其他
U000234,16,1,36.42,3,1,1,311,新用户
U000235,61,3,212.64000000000001,1,2,1,121,流失用户
U000236,1,5,1578.43,5,4,4,544,冠军用户
U000237,13,2,277.08,3,1,1,311,新用户
U000238,69,2,260.5,1,1,1,111,流失用户
U000239,61,2,552.06,1,1,2,112,流失用户
U000241,7,6,1749.4,4,4,4,444,忠实用户
U000242,3,4,1343.43,5,3,4,534,其他
U000243,84,1,94.29,1,1,1,111,流失用户
U000244,3,6,1608.2299999999998,5,4,4,544,冠军用户
U000245,6,5,910.05,4,4,3,443,其他
U000246,12,6,1743.74,3,4,4,344,忠实用户
U000247,5,16,5708.62,5,5,5,555,冠军用户
U000248,14,3,713.8699999999999,3,2,2,322,其他
U000249,85,1,702.16,1,1,2,112,流失用户
U000250,8,7,3081.1899999999996,4,4,5,445,冠军用户
U000251,51,3,1082.1499999999999,1,2,3,123,其他
U000252,12,7,1420.7199999999998,3,4,4,344,忠实用户
U000253,1,9,1739.03,5,5,4,554,冠军用户
U000254,30,5,1770.5699999999997,2,4,4,244,其他
U000255,3,7,2827.0400000000004,5,4,5,545,冠军用户
U000256,44,6,1048.1599999999999,1,4,3,143,其他
U000257,5,2,353.34000000000003,5,1,1,511,新用户
U000258,14,5,2633.51,3,4,5,345,忠实用户
U000259,11,5,840.71,4,4,3,443,其他
U000260,61,2,128.47,1,1,1,111,流失用户
U000261,1,9,2724.15,5,5,5,555,冠军用户
U000262,40,1,414.93,1,1,2,112,流失用户
U000263,23,5,1032.16,2,4,3,243,其他
U000264,89,1,331.92,1,1,1,111,流失用户
U000265,26,1,135.0,2,1,1,211,其他
U000266,17,3,520.5999999999999,3,2,2,322,其他
U000267,8,3,786.36,4,2,3,423,其他
U000268,2,17,2670.29,5,5,5,555,冠军用户
U000269,59,2,903.36,1,1,3,113,其他
U000270,1,14,4178.460000000001,5,5,5,555,冠军用户
U000271,11,6,1352.0,4,4,4,444,忠实用户
U000272,25,2,748.7900000000001,2,1,3,213,其他
U000273,27,5,892.6800000000001,2,4,3,243,其他
U000274,85,1,71.0,1,1,1,111,流失用户
U000275,12,4,875.81,3,3,3,333,其他
U000276,7,5,821.59,4,4,3,443,其他
U000278,8,5,4447.299999999999,4,4,5,445,冠军用户
U000279,0,9,1633.2799999999997,5,5,4,554,冠军用户
U000280,2,9,2492.9799999999996,5,5,5,555,冠军用户
U000281,20,3,1273.93,3,2,4,324,其他
U000282,8,7,2721.27,4,4,5,445,冠军用户
U000283,21,5,1300.9099999999999,2,4,4,244,其他
U000284,36,6,2835.4399999999996,2,4,5,245,其他
U000285,29,2,1404.82,2,1,4,214,大客户
U000286,39,2,600.56,1,1,2,112,流失用户
U000287,13,6,1541.24,3,4,4,344,忠实用户
U000288,19,6,1738.7,3,4,4,344,忠实用户
U000290,1,6,2625.8999999999996,5,4,5,545,冠军用户
U000291,13,10,1094.04,3,5,3,353,其他
U000292,10,3,1576.1299999999999,4,2,4,424,其他
U000293,2,15,3746.1499999999996,5,5,5,555,冠军用户
U000294,41,1,64.96,1,1,1,111,流失用户
U000295,55,1,48.6,1,1,1,111,流失用户
U000297,9,8,2200.88,4,5,5,455,冠军用户
U000298,13,10,3966.8399999999997,3,5,5,355,忠实用户
U000299,8,5,3989.71,4,4,5,445,冠军用户
U000301,2,6,1263.0800000000002,5,4,4,544,冠军用户
U000302,14,7,2558.75,3,4,5,345,忠实用户
U000303,23,10,3133.209999999999,2,5,5,255,其他
U000304,23,4,910.49,2,3,3,233,其他
U000305,17,7,865.7700000000001,3,4,3,343,其他
U000306,71,1,85.76,1,1,1,111,流失用户
U000307,16,6,1105.38,3,4,3,343,其他
U000308,18,1,211.0,3,1,1,311,新用户
U000309,6,11,2410.8100000000004,4,5,5,455,冠军用户
U000310,7,3,578.78,4,2,2,422,新用户
U000311,5,1,27.36,5,1,1,511,新用户
U000312,10,6,1572.23,4,4,4,444,忠实用户
U000313,42,7,1357.57,1,4,4,144,大客户
U000314,49,2,85.76,1,1,1,111,流失用户
U000315,1,11,2553.2,5,5,5,555,冠军用户
U000316,4,4,851.4,5,3,3,533,其他
U000317,2,1,511.11,5,1,2,512,新用户
U000318,4,2,727.02,5,1,2,512,新用户
U000319,20,6,1342.2,3,4,4,344,忠实用户
U000320,11,3,653.27,4,2,2,422,新用户
U000321,21,3,857.49,2,2,3,223,其他
U000322,6,5,1149.1599999999999,4,4,3,443,其他
U000323,3,5,1303.03,5,4,4,544,冠军用户
U000324,22,1,45.74,2,1,1,211,其他
U000325,65,1,326.64,1,1,1,111,流失用户
U000326,13,2,397.78999999999996,3,1,2,312,其他
U000327,11,6,3146.0699999999997,4,4,5,445,冠军用户
U000328,18,4,373.4,3,3,2,332,其他
U000329,16,4,2019.06,3,3,4,334,其他
U000330,14,3,481.81999999999994,3,2,2,322,其他
U000331,9,7,1316.13,4,4,4,444,忠实用户
U000332,8,3,468.35,4,2,2,422,新用户
U000333,36,1,133.4,2,1,1,211,其他
U000334,3,8,1438.46,5,5,4,554,冠军用户
U000335,5,4,1294.08,5,3,4,534,其他
U000337,56,3,1400.1599999999999,1,2,4,124,其他
U000338,73,2,295.42,1,1,1,111,流失用户
U000339,51,1,135.45,1,1,1,111,流失用户
U000340,40,2,193.39999999999998,1,1,1,111,流失用户
U000341,33,2,621.3,2,1,2,212,其他
U000342,21,4,1104.2,2,3,3,233,其他
U000343,39,5,1142.47,1,4,3,143,其他
U000344,15,4,1669.83,3,3,4,334,其他
U000345,15,2,1114.84,3,1,3,313,其他
U000346,1,14,4121.16,5,5,5,555,冠军用户
U000348,20,2,177.16,3,1,1,311,新用户
U000349,13,1,490.68,3,1,2,312,其他
U000350,45,1,500.82,1,1,2,112,流失用户
U000351,41,3,715.3100000000001,1,2,2,122,其他
U000352,5,10,2747.74,5,5,5,555,冠军用户
U000353,32,2,443.51,2,1,2,212,其他
U000354,42,4,1591.88,1,3,4,134,其他
U000355,38,3,897.76,1,2,3,123,其他
U000357,23,5,1585.61,2,4,4,244,其他
U000358,26,6,1017.3,2,4,3,243,其他
U000359,8,3,994.0400000000001,4,2,3,423,其他
U000360,23,3,1480.82,2,2,4,224,其他
U000361,1,4,297.68,5,3,1,531,其他
U000362,26,1,96.79,2,1,1,211,其他
U000363,1,17,4582.56,5,5,5,555,冠军用户
U000364,34,2,541.95,2,1,2,212,其他
U000365,25,5,1472.3700000000001,2,4,4,244,其他
U000366,1,4,793.6200000000001,5,3,3,533,其他
U000367,9,3,985.5799999999999,4,2,3,423,其他
U000368,65,1,96.85,1,1,1,111,流失用户
U000369,33,3,621.04,2,2,2,222,其他
U000370,45,1,127.82,1,1,1,111,流失用户
U000371,2,2,419.78999999999996,5,1,2,512,新用户
U000372,80,1,97.84,1,1,1,111,流失用户
U000373,9,6,2805.6200000000003,4,4,5,445,冠军用户
U000374,26,2,1632.1000000000001,2,1,4,214,大客户
U000375,3,12,3968.5699999999997,5,5,5,555,冠军用户
U000376,5,5,2043.79,5,4,4,544,冠军用户
U000377,54,1,85.68,1,1,1,111,流失用户
U000378,43,2,455.92,1,1,2,112,流失用户
U000379,17,2,321.33000000000004,3,1,1,311,新用户
U000380,3,7,1629.35,5,4,4,544,冠军用户
U000381,15,8,1574.1,3,5,4,354,忠实用户
U000382,1,1,68.43,5,1,1,511,新用户
U000383,5,12,3126.12,5,5,5,555,冠军用户
U000384,11,5,382.27000000000004,4,4,2,442,其他
U000385,22,2,409.9,2,1,2,212,其他
U000386,44,3,274.94,1,2,1,121,流失用户
U000387,12,5,757.65,3,4,3,343,其他
U000388,22,4,981.4000000000001,2,3,3,233,其他
U000389,48,1,37.59,1,1,1,111,流失用户
U000390,19,3,386.37,3,2,2,322,其他
U000391,4,5,1227.87,5,4,3,543,忠实用户
U000392,27,2,273.19,2,1,1,211,其他
U000393,6,2,569.7,4,1,2,412,新用户
U000394,10,7,1116.5700000000002,4,4,3,443,其他
U000395,49,2,365.91999999999996,1,1,2,112,流失用户
U000396,22,4,1391.72,2,3,4,234,其他
U000397,1,7,1245.9299999999998,5,4,4,544,冠军用户
U000398,28,1,43.54,2,1,1,211,其他
U000399,23,7,1352.8100000000002,2,4,4,244,其他
U000401,41,5,1155.55,1,4,3,143,其他
U000402,14,2,564.73,3,1,2,312,其他
U000403,7,3,832.49,4,2,3,423,其他
U000404,15,8,2644.1,3,5,5,355,忠实用户
U000405,7,5,1047.34,4,4,3,443,其他
U000406,22,4,454.93,2,3,2,232,其他
U000407,8,8,3284.46,4,5,5,455,冠军用户
U000408,49,2,924.89,1,1,3,113,其他
U000410,1,9,1708.9199999999998,5,5,4,554,冠军用户
U000411,8,6,1249.29,4,4,4,444,忠实用户
U000412,0,16,7611.22,5,5,5,555,冠军用户
U000413,40,4,423.96000000000004,1,3,2,132,其他
U000414,8,8,974.95,4,5,3,453,其他
U000415,32,5,2385.3700000000003,2,4,5,245,其他
U000416,4,8,1370.3400000000001,5,5,4,554,冠军用户
U000417,19,3,493.56,3,2,2,322,其他
U000418,15,2,224.38,3,1,1,311,新用户
U000419,9,16,4194.02,4,5,5,455,冠军用户
U000420,22,6,1759.4499999999998,2,4,4,244,其他
U000421,52,2,239.9,1,1,1,111,流失用户
U000422,42,1,523.44,1,1,2,112,流失用户
U000423,18,1,386.51,3,1,2,312,其他
U000424,11,14,3739.45,4,5,5,455,冠军用户
U000425,13,4,394.51,3,3,2,332,其他
U000426,27,3,1132.6699999999998,2,2,3,223,其他
U000427,4,10,4028.74,5,5,5,555,冠军用户
U000428,12,4,972.96,3,3,3,333,其他
U000429,65,1,291.88,1,1,1,111,流失用户
U000430,9,5,1486.95,4,4,4,444,忠实用户
U000431,9,1,119.44,4,1,1,411,新用户
U000432,1,13,4649.49,5,5,5,555,冠军用户
U000433,6,2,303.3,4,1,1,411,新用户
U000434,0,11,2894.81,5,5,5,555,冠军用户
U000435,23,6,2018.6,2,4,4,244,其他
U000436,33,2,289.54,2,1,1,211,其他
U000437,6,7,3521.04,4,4,5,445,冠军用户
U000438,8,1,79.4,4,1,1,411,新用户
U000439,6,2,399.69,4,1,2,412,新用户
U000440,23,3,452.12000000000006,2,2,2,222,其他
U000442,42,3,316.86,1,2,1,121,流失用户
U000443,4,6,1355.1,5,4,4,544,冠军用户
U000444,8,5,1088.4,4,4,3,443,其他
U000445,52,1,93.82,1,1,1,111,流失用户
U000446,21,5,814.9599999999999,2,4,3,243,其他
U000447,13,12,2810.23,3,5,5,355,忠实用户
U000448,53,3,293.28,1,2,1,121,流失用户
U000449,34,1,127.41,2,1,1,211,其他
U000450,10,5,1777.93,4,4,4,444,忠实用户
U000451,20,3,561.65,3,2,2,322,其他
U000452,12,9,1847.8000000000002,3,5,4,354,忠实用户
U000453,6,1,68.03999999999999,4,1,1,411,新用户
U000454,15,2,354.24,3,1,1,311,新用户
U000456,18,11,4282.98,3,5,5,355,忠实用户
U000457,2,4,1284.79,5,3,4,534,其他
U000459,11,6,959.5200000000001,4,4,3,443,其他
U000460,16,8,2306.6499999999996,3,5,5,355,忠实用户
U000461,30,2,706.77,2,1,2,212,其他
U000462,5,2,1423.16,5,1,4,514,其他
U000463,25,10,3320.71,2,5,5,255,其他
U000465,6,11,2675.5699999999997,4,5,5,455,冠军用户
U000466,12,1,166.02,3,1,1,311,新用户
U000467,15,8,2867.68,3,5,5,355,忠实用户
U000468,7,2,426.62,4,1,2,412,新用户
U000469,59,2,315.14,1,1,1,111,流失用户
U000470,67,2,933.3,1,1,3,113,其他
U000471,76,1,628.48,1,1,2,112,流失用户
U000472,1,10,2417.91,5,5,5,555,冠军用户
U000473,32,2,334.22,2,1,1,211,其他
U000474,12,5,1663.06,3,4,4,344,忠实用户
U000475,17,4,243.85999999999996,3,3,1,331,需要关怀的用户
U000476,52,4,883.4000000000001,1,3,3,133,其他
U000477,32,2,899.7,2,1,3,213,其他
U000478,11,2,151.97,4,1,1,411,新用户
U000479,15,4,1453.13,3,3,4,334,其他
U000480,41,5,1304.2599999999998,1,4,4,144,大客户
U000481,9,4,956.83,4,3,3,433,其他
U000482,15,4,351.26,3,3,1,331,需要关怀的用户
U000483,10,7,1283.5800000000002,4,4,4,444,忠实用户
U000484,1,9,2718.7799999999997,5,5,5,555,冠军用户
U000485,17,5,1473.41,3,4,4,344,忠实用户
U000486,36,2,1071.41,2,1,3,213,其他
U000487,55,3,1047.22,1,2,3,123,其他
U000488,13,6,682.3399999999999,3,4,2,342,其他
U000489,27,2,1173.0900000000001,2,1,3,213,其他
U000490,7,8,1388.16,4,5,4,454,冠军用户
U000491,23,4,892.36,2,3,3,233,其他
U000492,5,7,1353.4499999999998,5,4,4,544,冠军用户
U000494,59,2,61.650000000000006,1,1,1,111,流失用户
U000495,3,5,1316.75,5,4,4,544,冠军用户
U000497,37,5,2742.93,2,4,5,245,其他
U000498,3,7,942.76,5,4,3,543,忠实用户
U000499,22,2,573.73,2,1,2,212,其他
U000500,38,2,922.0,1,1,3,113,其他
U000501,2,7,1880.4099999999999,5,4,4,544,冠军用户
U000502,24,2,499.3,2,1,2,212,其他
U000503,25,4,397.29,2,3,2,232,其他
U000504,2,4,587.3399999999999,5,3,2,532,其他
U000505,1,6,3290.0800000000004,5,4,5,545,冠军用户
U000506,11,2,193.22,4,1,1,411,新用户
U000507,9,6,2047.9499999999998,4,4,5,445,冠军用户
U000508,17,7,1448.78,3,4,4,344,忠实用户
U000509,42,2,301.06,1,1,1,111,流失用户
U000510,29,6,1353.3000000000002,2,4,4,244,其他
U000511,29,5,1963.7999999999997,2,4,4,244,其他
U000512,5,13,4950.299999999999,5,5,5,555,冠军用户
U000514,15,4,686.82,3,3,2,332,其他
U000516,50,1,358.32,1,1,1,111,流失用户
U000517,29,3,1306.74,2,2,4,224,其他
U000518,10,6,1171.8,4,4,3,443,其他
U000519,54,5,866.37,1,4,3,143,其他
U000520,22,7,4016.55,2,4,5,245,其他
U000521,7,5,977.56,4,4,3,443,其他
U000522,12,5,981.9300000000001,3,4,3,343,其他
U000523,17,6,570.74,3,4,2,342,其他
U000524,33,3,1016.66,2,2,3,223,其他
U000525,6,12,3639.1199999999994,4,5,5,455,冠军用户
U000526,58,1,132.36,1,1,1,111,流失用户
U000527,14,3,782.08,3,2,3,323,其他
U000528,17,6,1933.79,3,4,4,344,忠实用户
U000529,8,7,1873.64,4,4,4,444,忠实用户
U000530,11,1,152.49,4,1,1,411,新用户
U000531,3,12,2791.2200000000003,5,5,5,555,冠军用户
U000532,36,2,551.26,2,1,2,212,其他
U000533,8,8,2986.1,4,5,5,455,冠军用户
U000534,31,3,490.33000000000004,2,2,2,222,其他
U000536,2,10,2254.38,5,5,5,555,冠军用户
U000537,11,5,3357.57,4,4,5,445,冠军用户
U000538,24,2,632.98,2,1,2,212,其他
U000539,35,3,343.58000000000004,2,2,1,221,其他
U000540,11,2,289.22,4,1,1,411,新用户
U000541,6,12,5972.839999999998,4,5,5,455,冠军用户
U000543,34,5,1635.12,2,4,4,244,其他
U000544,30,5,1745.8999999999999,2,4,4,244,其他
U000546,5,2,104.94,5,1,1,511,新用户
U000547,2,10,2132.95,5,5,5,555,冠军用户
U000548,18,7,1485.71,3,4,4,344,忠实用户
U000550,3,8,2035.14,5,5,4,554,冠军用户
U000551,6,7,1828.5499999999997,4,4,4,444,忠实用户
U000552,10,7,1960.13,4,4,4,444,忠实用户
U000553,5,3,1412.32,5,2,4,524,其他
U000554,63,1,61.48,1,1,1,111,流失用户
U000556,26,5,1080.6200000000001,2,4,3,243,其他
U000557,20,3,435.19,3,2,2,322,其他
U000558,21,4,1514.06,2,3,4,234,其他
U000559,8,2,206.05,4,1,1,411,新用户
U000560,14,3,1572.78,3,2,4,324,其他
U000561,55,1,64.16,1,1,1,111,流失用户
U000562,2,3,492.26,5,2,2,522,其他
U000563,1,4,741.9399999999999,5,3,2,532,其他
U000564,13,6,1528.28,3,4,4,344,忠实用户
U000565,42,2,308.0,1,1,1,111,流失用户
U000566,45,1,485.31000000000006,1,1,2,112,流失用户
U000567,42,2,315.1,1,1,1,111,流失用户
U000568,14,5,1068.0,3,4,3,343,其他
U000569,11,2,419.39,4,1,2,412,新用户
U000570,25,6,1238.1599999999999,2,4,4,244,其他
U000571,7,1,959.36,4,1,3,413,其他
U000572,11,2,801.6800000000001,4,1,3,413,其他
